TIPO;NÚMERO;NOMBRE;DEPENDENCIA;FECHA CIERRE;PERFIL;ENLACE
I;2017-1377;TECNOLOGÍAS Y DISEÑO O REDISEÑO DE PRODUCTOS QUE SOPORTA EL SISTEMA DE OPERACIÓN LOGÍSTICA Y DISTRIB;Facultad de Ingeniería - Departamento de Ingeniería Civil y Agrícola;25/05/2017;diseño industrial;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1377.pdf
E;2017-1375;CONVENIO DE COOPERACIÓN PARA EL FORTALECIMIENTO DE COMPETENCIAS ACADÉMICAS DE ESTUDIANTES;Facultad de Ingeniería - Departamento de Ingeniería de Sistemas e Industrial;25/05/2017;Administración de Empresas;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1375.pdf
I;2017-1374;TECNOLOGÍAS Y DISEÑO O REDISEÑO DE PRODUCTOS QUE SOPORTA EL SISTEMA DE OPERACIÓN LOGÍSTICA Y DISTRIB;Facultad de Ingeniería - Departamento de Ingeniería Civil y Agrícola;25/05/2017;Ingeniería agrícola;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1374.pdf
B;2017-1373;semana de inducción 2017-3;Facultad de Enfermería;30/05/2017;enfermería;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1373.pdf
GA;2017-1371;POSGRADOS EN FILOSOFÍA;Facultad de Ciencias Humanas - Departamento de Filosofía;24/05/2017;Filosofía;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1371.pdf
E;2017-1369;CONVENIO DE COOPERACIÓN PARA EL FORTALECIMIENTO DE COMPETENCIAS ACADÉMICAS DE ESTUDIANTES;Facultad de Ingeniería - Departamento de Ingeniería de Sistemas e Industrial;24/05/2017;Psicología;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1369.pdf
E;2017-1368;CONVENIO DE COOPERACIÓN PARA EL FORTALECIMIENTO DE COMPETENCIAS ACADÉMICAS DE ESTUDIANTES;Facultad de Ingeniería - Departamento de Ingeniería de Sistemas e Industrial;24/05/2017;Psicología;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1368.pdf
I;2017-1367;Grupo de investigación IDCARÁN - Proyecto FORD;Facultad de Ciencias Humanas;24/05/2017;Literatura;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1367.pdf
I;2017-1366;Programa Nacional de difusión del conocimiento mediante eventos 2017-2018;Facultad de Ciencias Humanas;24/05/2017;Literatura;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1366.pdf
I;2017-1364;Debates dogmáticos y criminológicos entre el derecho penal clásico y el derecho penal moderno;Facultad de Derecho, Ciencias Políticas y Sociales - Departamento de Derecho;7/06/2017;Derecho o de Ciencia Política;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1364.pdf
A;2017-1363;Apoyar seguimiento de invitaciones y gestión de bases de datos de evaluadores académicos;Facultad de Derecho, Ciencias Políticas y Sociales;24/05/2017;Derecho o de Ciencia Política;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1363.pdf
